IDX,BestObjective,NumOfIndividuals,NumOfDimensions,NumOfIterations,NumOfFunctionCall,ElapsedTime,ObjectiveFunction,Algorithm
184,2.65025641,100,30,150,15000,23.26138186,Ackley,GOA
185,1.975401302,100,30,150,15000,23.23115921,Ackley,GOA
186,2.396794096,100,30,150,15000,23.2083838,Ackley,GOA
187,1.441526045,100,30,150,15000,22.90608096,Ackley,GOA
188,2.453011533,100,30,150,15000,23.26368618,Ackley,GOA
189,2.587705951,100,30,150,15000,23.60413384,Ackley,GOA
190,2.1321118,100,30,150,15000,23.95394111,Ackley,GOA
191,1.619745597,100,30,150,15000,23.240834,Ackley,GOA
192,2.228524091,100,30,150,15000,22.95660686,Ackley,GOA
193,2.253304348,100,30,150,15000,23.31749082,Ackley,GOA
194,2.620632067,100,30,150,15000,23.54321098,Ackley,GOA
195,2.126519197,100,30,150,15000,22.35575891,Ackley,GOA
196,2.070046797,100,30,150,15000,21.2853229,Ackley,GOA
197,2.163225348,100,30,150,15000,21.37539101,Ackley,GOA
198,2.63015884,100,30,150,15000,21.25154901,Ackley,GOA
199,2.298045781,100,30,150,15000,21.22231889,Ackley,GOA
200,4.2346938,100,30,150,15000,0.890439272,Ackley,SPSO
201,4.50790716,100,30,150,15000,0.88085103,Ackley,SPSO
202,3.099755863,100,30,150,15000,0.851714134,Ackley,SPSO
203,3.727213431,100,30,150,15000,0.839681864,Ackley,SPSO
204,2.719538688,100,30,150,15000,0.834810019,Ackley,SPSO
205,4.058161679,100,30,150,15000,0.852402925,Ackley,SPSO
206,3.991626485,100,30,150,15000,0.871136904,Ackley,SPSO
207,4.266247549,100,30,150,15000,0.853665113,Ackley,SPSO
208,2.975088532,100,30,150,15000,0.835719109,Ackley,SPSO
209,3.693891018,100,30,150,15000,0.844632149,Ackley,SPSO
210,3.595157013,100,30,150,15000,0.875960112,Ackley,SPSO
211,3.989708661,100,30,150,15000,0.865463018,Ackley,SPSO
212,3.308845099,100,30,150,15000,0.848767996,Ackley,SPSO
213,3.433542053,100,30,150,15000,0.847903967,Ackley,SPSO
214,3.44679059,100,30,150,15000,0.845154762,Ackley,SPSO
215,4.071501353,100,30,150,15000,0.863934994,Ackley,SPSO
216,2.785253932,100,30,150,15000,0.85821104,Ackley,SPSO
217,3.288171245,100,30,150,15000,0.855942011,Ackley,SPSO
218,4.284679379,100,30,150,15000,0.856611013,Ackley,SPSO
219,4.726102322,100,30,150,15000,0.877780914,Ackley,SPSO
220,4.618687099,100,30,150,15000,0.879685163,Ackley,SPSO
221,3.534882264,100,30,150,15000,0.862962961,Ackley,SPSO
222,4.643405301,100,30,150,15000,0.840548992,Ackley,SPSO
223,4.282266159,100,30,150,15000,0.841038942,Ackley,SPSO
224,3.882523241,100,30,150,15000,0.927042007,Ackley,SPSO
225,3.953902692,100,30,150,15000,0.883344889,Ackley,SPSO
226,3.329605829,100,30,150,15000,0.869121075,Ackley,SPSO
227,4.504171034,100,30,150,15000,0.84661293,Ackley,SPSO
228,5.652181268,100,30,150,15000,0.84977293,Ackley,SPSO
229,3.907799278,100,30,150,15000,0.858864784,Ackley,SPSO
230,4.228949057,100,30,150,15000,0.881536007,Ackley,SPSO
231,3.141696011,100,30,150,15000,0.858763933,Ackley,SPSO
232,3.600453176,100,30,150,15000,0.850509882,Ackley,SPSO
233,4.664110846,100,30,150,15000,0.861541986,Ackley,SPSO
234,4.316348318,100,30,150,15000,0.919445992,Ackley,SPSO
235,3.61724432,100,30,150,15000,0.899116039,Ackley,SPSO
236,2.693087668,100,30,150,15000,0.859543085,Ackley,SPSO
237,4.4756045,100,30,150,15000,0.926074266,Ackley,SPSO
238,3.591214017,100,30,150,15000,0.879074097,Ackley,SPSO
239,3.391049708,100,30,150,15000,0.862481833,Ackley,SPSO
240,3.408615395,100,30,150,15000,0.865944147,Ackley,SPSO
241,3.62413218,100,30,150,15000,0.868898869,Ackley,SPSO
242,3.302289778,100,30,150,15000,0.886833191,Ackley,SPSO
243,4.023402688,100,30,150,15000,0.88483882,Ackley,SPSO
244,3.06141537,100,30,150,15000,0.864085913,Ackley,SPSO
245,3.979600477,100,30,150,15000,0.860791683,Ackley,SPSO
246,4.25176768,100,30,150,15000,0.87343812,Ackley,SPSO
247,3.110260508,100,30,150,15000,0.876952171,Ackley,SPSO
248,2.953062821,100,30,150,15000,0.869889021,Ackley,SPSO
249,3.134905715,100,30,150,15000,0.999291897,Ackley,SPSO
250,4.082747732,100,30,150,15000,1.013323069,Ackley,SPSO
251,4.373874902,100,30,150,15000,1.109665871,Ackley,SPSO
252,3.693814091,100,30,150,15000,0.875272274,Ackley,SPSO
253,3.900696816,100,30,150,15000,0.918128967,Ackley,SPSO
254,3.685062359,100,30,150,15000,0.888312817,Ackley,SPSO
255,3.77704,100,30,150,15000,0.877419949,Ackley,SPSO
256,3.601960266,100,30,150,15000,0.905984879,Ackley,SPSO
257,4.598628651,100,30,150,15000,0.880099058,Ackley,SPSO
258,3.052336047,100,30,150,15000,0.911734104,Ackley,SPSO
259,4.671317723,100,30,150,15000,0.894320965,Ackley,SPSO
260,3.263374558,100,30,150,15000,0.872132778,Ackley,SPSO
261,3.750388862,100,30,150,15000,0.872766256,Ackley,SPSO
262,4.337240331,100,30,150,15000,0.915660143,Ackley,SPSO
263,3.64641291,100,30,150,15000,0.865556955,Ackley,SPSO
264,3.54423555,100,30,150,15000,0.86017108,Ackley,SPSO
265,4.537709458,100,30,150,15000,0.862909079,Ackley,SPSO
266,3.425240663,100,30,150,15000,0.887955189,Ackley,SPSO
267,3.672017452,100,30,150,15000,0.887573957,Ackley,SPSO
268,4.074259069,100,30,150,15000,0.879524708,Ackley,SPSO
269,2.621126873,100,30,150,15000,0.865112066,Ackley,SPSO
270,3.784310542,100,30,150,15000,0.858328104,Ackley,SPSO
271,3.574219248,100,30,150,15000,0.886979103,Ackley,SPSO
272,4.702109678,100,30,150,15000,0.878685951,Ackley,SPSO
273,3.750688178,100,30,150,15000,0.887411118,Ackley,SPSO
274,4.092022665,100,30,150,15000,0.906171799,Ackley,SPSO
275,3.068025381,100,30,150,15000,0.887995005,Ackley,SPSO
276,2.685277893,100,30,150,15000,0.879987955,Ackley,SPSO
277,3.643670437,100,30,150,15000,0.888053894,Ackley,SPSO
278,4.934705417,100,30,150,15000,0.880403042,Ackley,SPSO
279,3.506263186,100,30,150,15000,0.881377935,Ackley,SPSO
280,3.773464191,100,30,150,15000,0.858983755,Ackley,SPSO
281,3.162130475,100,30,150,15000,0.843282223,Ackley,SPSO
282,4.618256045,100,30,150,15000,0.862201929,Ackley,SPSO
283,3.993149473,100,30,150,15000,0.894331217,Ackley,SPSO
284,3.117858968,100,30,150,15000,0.866213322,Ackley,SPSO
285,3.564912357,100,30,150,15000,0.909983873,Ackley,SPSO
286,3.658365273,100,30,150,15000,0.864199877,Ackley,SPSO
287,2.933036976,100,30,150,15000,0.885043144,Ackley,SPSO
288,4.237738272,100,30,150,15000,0.876218796,Ackley,SPSO
289,3.860782733,100,30,150,15000,0.862713814,Ackley,SPSO
290,2.846550893,100,30,150,15000,0.856466293,Ackley,SPSO
291,3.85815455,100,30,150,15000,0.874503851,Ackley,SPSO
292,4.37405452,100,30,150,15000,0.86016202,Ackley,SPSO
293,3.309401423,100,30,150,15000,0.843728304,Ackley,SPSO
294,4.169224429,100,30,150,15000,0.844218969,Ackley,SPSO
295,3.98699041,100,30,150,15000,0.852187157,Ackley,SPSO
296,3.129286715,100,30,150,15000,0.870857954,Ackley,SPSO
297,2.772093604,100,30,150,15000,0.924003124,Ackley,SPSO
298,3.720465137,100,30,150,15000,0.904354095,Ackley,SPSO
299,4.169907639,100,30,150,15000,0.860511065,Ackley,SPSO
300,4.175454288,100,30,150,15000,0.967890978,Ackley,SPSO
301,3.8203633,100,30,150,15000,0.966365814,Ackley,SPSO
302,3.208334143,100,30,150,15000,0.910760164,Ackley,SPSO
303,3.761972848,100,30,150,15000,0.899281979,Ackley,SPSO
304,3.901993902,100,30,150,15000,0.885251045,Ackley,SPSO
305,2.817728708,100,30,150,15000,0.902714014,Ackley,SPSO
306,3.586259617,100,30,150,15000,0.846045971,Ackley,SPSO
307,4.095015016,100,30,150,15000,0.870208979,Ackley,SPSO
308,3.8056912,100,30,150,15000,0.873370171,Ackley,SPSO
309,3.865290128,100,30,150,15000,0.879976988,Ackley,SPSO
310,4.327878655,100,30,150,15000,0.857850075,Ackley,SPSO
311,3.526988427,100,30,150,15000,0.856986284,Ackley,SPSO
312,4.139297011,100,30,150,15000,0.864587069,Ackley,SPSO
313,3.331130133,100,30,150,15000,0.871039152,Ackley,SPSO
314,3.390648717,100,30,150,15000,0.846014977,Ackley,SPSO
315,3.373761682,100,30,150,15000,0.835084677,Ackley,SPSO
316,3.646766475,100,30,150,15000,0.907917976,Ackley,SPSO
317,4.18025383,100,30,150,15000,1.040706158,Ackley,SPSO
318,3.04140505,100,30,150,15000,0.971543074,Ackley,SPSO
319,3.46083946,100,30,150,15000,0.997754097,Ackley,SPSO
320,3.719934301,100,30,150,15000,1.017709732,Ackley,SPSO
321,4.26468312,100,30,150,15000,0.976087809,Ackley,SPSO
322,4.861348151,100,30,150,15000,0.968734026,Ackley,SPSO
323,2.998046387,100,30,150,15000,0.956084967,Ackley,SPSO
324,2.989592113,100,30,150,15000,0.970672846,Ackley,SPSO
325,3.758456609,100,30,150,15000,0.948088169,Ackley,SPSO
326,3.787151355,100,30,150,15000,0.948498011,Ackley,SPSO
327,2.976719353,100,30,150,15000,0.945154905,Ackley,SPSO
328,3.671428804,100,30,150,15000,0.935857296,Ackley,SPSO
329,3.428015493,100,30,150,15000,0.920943022,Ackley,SPSO
330,4.082688966,100,30,150,15000,0.920140028,Ackley,SPSO
331,5.121180445,100,30,150,15000,0.930173874,Ackley,SPSO
332,4.748656562,100,30,150,15000,0.923074961,Ackley,SPSO
333,3.609230198,100,30,150,15000,0.935581923,Ackley,SPSO
334,3.871761627,100,30,150,15000,0.940912247,Ackley,SPSO
335,4.236032018,100,30,150,15000,0.950510025,Ackley,SPSO
336,3.04556563,100,30,150,15000,0.920585871,Ackley,SPSO
337,4.57839934,100,30,150,15000,0.935779095,Ackley,SPSO
338,4.33727258,100,30,150,15000,0.938621998,Ackley,SPSO
339,4.777474009,100,30,150,15000,0.930700064,Ackley,SPSO
340,4.403138911,100,30,150,15000,0.922810793,Ackley,SPSO
341,4.575809038,100,30,150,15000,0.973065853,Ackley,SPSO
342,4.436380601,100,30,150,15000,0.945549011,Ackley,SPSO
343,4.095271637,100,30,150,15000,0.918232918,Ackley,SPSO
344,3.498500235,100,30,150,15000,0.920953751,Ackley,SPSO
345,3.207552624,100,30,150,15000,0.95332408,Ackley,SPSO
346,4.209138468,100,30,150,15000,0.922509193,Ackley,SPSO
347,4.031858389,100,30,150,15000,0.924935102,Ackley,SPSO
348,3.290695733,100,30,150,15000,0.957711935,Ackley,SPSO
349,4.004231771,100,30,150,15000,0.941496134,Ackley,SPSO
350,3.070620901,100,30,150,15000,0.939409256,Ackley,SPSO
351,4.136521028,100,30,150,15000,0.938655376,Ackley,SPSO
352,2.985401252,100,30,150,15000,0.968505859,Ackley,SPSO
353,3.813522128,100,30,150,15000,0.930482149,Ackley,SPSO
354,3.052295925,100,30,150,15000,0.926010847,Ackley,SPSO
355,4.363507572,100,30,150,15000,0.926083088,Ackley,SPSO
356,3.617738248,100,30,150,15000,0.915366173,Ackley,SPSO
357,3.253972041,100,30,150,15000,0.939612865,Ackley,SPSO
358,3.319981491,100,30,150,15000,0.925458908,Ackley,SPSO
359,4.27124776,100,30,150,15000,0.931601048,Ackley,SPSO
360,3.045525817,100,30,150,15000,0.933749914,Ackley,SPSO
361,2.17158678,100,30,150,15000,0.951704025,Ackley,SPSO
362,4.575583755,100,30,150,15000,0.936492205,Ackley,SPSO
363,3.571033352,100,30,150,15000,0.965163946,Ackley,SPSO
364,4.144526557,100,30,150,15000,0.933278084,Ackley,SPSO
365,3.796009276,100,30,150,15000,0.922092676,Ackley,SPSO
366,2.916959536,100,30,150,15000,0.964249134,Ackley,SPSO
367,3.804715745,100,30,150,15000,0.948395014,Ackley,SPSO
368,5.133334482,100,30,150,15000,0.918202162,Ackley,SPSO
369,3.656073604,100,30,150,15000,0.989587069,Ackley,SPSO
370,5.212788033,100,30,150,15000,0.937877893,Ackley,SPSO
371,3.291348013,100,30,150,15000,0.922273874,Ackley,SPSO
372,3.535058845,100,30,150,15000,0.937721252,Ackley,SPSO
373,4.478188622,100,30,150,15000,0.937251091,Ackley,SPSO
374,4.128112327,100,30,150,15000,0.930499077,Ackley,SPSO
375,4.314284855,100,30,150,15000,0.948555708,Ackley,SPSO
376,4.269866192,100,30,150,15000,0.938000917,Ackley,SPSO
377,4.719306238,100,30,150,15000,0.937303066,Ackley,SPSO
378,3.689435971,100,30,150,15000,0.927945852,Ackley,SPSO
379,3.684382932,100,30,150,15000,0.927636862,Ackley,SPSO
380,3.742434311,100,30,150,15000,0.957309961,Ackley,SPSO
381,3.498692943,100,30,150,15000,0.948856831,Ackley,SPSO
382,3.411487591,100,30,150,15000,0.973555803,Ackley,SPSO
383,4.018139541,100,30,150,15000,0.922534943,Ackley,SPSO
384,4.132447922,100,30,150,15000,0.926064968,Ackley,SPSO
385,3.13520069,100,30,150,15000,0.937585115,Ackley,SPSO
386,4.900278468,100,30,150,15000,0.934690237,Ackley,SPSO
387,3.570464958,100,30,150,15000,0.956166744,Ackley,SPSO
388,2.967527146,100,30,150,15000,0.963360071,Ackley,SPSO
389,3.428606359,100,30,150,15000,0.961844921,Ackley,SPSO
390,3.667528253,100,30,150,15000,0.945286989,Ackley,SPSO
391,4.672351204,100,30,150,15000,0.935792208,Ackley,SPSO
392,3.529769338,100,30,150,15000,0.954594135,Ackley,SPSO
393,2.226700281,100,30,150,15000,0.958021879,Ackley,SPSO
394,3.875479824,100,30,150,15000,0.944550991,Ackley,SPSO
395,4.209343577,100,30,150,15000,0.96170187,Ackley,SPSO
396,2.501997429,100,30,150,15000,0.966898203,Ackley,SPSO
397,3.696010968,100,30,150,15000,0.937810898,Ackley,SPSO
398,4.304653292,100,30,150,15000,0.954801083,Ackley,SPSO
399,3.072704024,100,30,150,15000,0.9408741,Ackley,SPSO
400,2.584909325,100,30,150,15000,2.457800865,Ackley,FiPSO
401,2.553873208,100,30,150,15000,2.40138793,Ackley,FiPSO
402,2.885076893,100,30,150,15000,2.43746376,Ackley,FiPSO
403,2.858020127,100,30,150,15000,2.3989923,Ackley,FiPSO
404,2.668014396,100,30,150,15000,2.428509951,Ackley,FiPSO
405,2.530552322,100,30,150,15000,2.421034098,Ackley,FiPSO
406,2.992364126,100,30,150,15000,2.464898109,Ackley,FiPSO
407,2.991441588,100,30,150,15000,2.41593194,Ackley,FiPSO
408,2.592441319,100,30,150,15000,2.42019105,Ackley,FiPSO
409,2.629631836,100,30,150,15000,2.43066287,Ackley,FiPSO
410,3.069764384,100,30,150,15000,2.452480078,Ackley,FiPSO
411,2.467683243,100,30,150,15000,2.453371048,Ackley,FiPSO
412,2.84755224,100,30,150,15000,2.475860834,Ackley,FiPSO
413,3.23312578,100,30,150,15000,2.412621021,Ackley,FiPSO
414,2.969253129,100,30,150,15000,2.45162797,Ackley,FiPSO
415,3.015576501,100,30,150,15000,2.443087816,Ackley,FiPSO
416,2.464434049,100,30,150,15000,2.416399956,Ackley,FiPSO
417,2.554493592,100,30,150,15000,2.45682621,Ackley,FiPSO
418,2.495357501,100,30,150,15000,2.458858013,Ackley,FiPSO
419,2.354642169,100,30,150,15000,2.469553947,Ackley,FiPSO
420,3.068821221,100,30,150,15000,2.467258692,Ackley,FiPSO
421,2.690928399,100,30,150,15000,2.426068783,Ackley,FiPSO
422,2.529936409,100,30,150,15000,2.476267815,Ackley,FiPSO
